userid,its,timesecs,fitness,success
control1,1427,79.97,0.456,TRUE
control10,1007,57.25,0.444,TRUE
control11,611,36.77,0.278,TRUE
control12,1428,78.6799999999998,0.228,TRUE
control13,808,46.4700000000003,0.418,TRUE
control14,722,41.73,0.6,TRUE
control15,817,47.5,0.494,TRUE
control16,1007,56.52,0.674,TRUE
control17,1500,83.6100000000001,0.438,TRUE
control18,850,49.2800000000002,0.364,TRUE
control19,1111,63.0599999999999,0.42,TRUE
control2,782,45.4099999999999,0.586,TRUE
control20,1475,82.0699999999997,0.588,TRUE
control21,947,54.1599999999999,0.682,TRUE
control22,1500,83.0999999999999,0.588,TRUE
control23,614,36.9499999999998,0.324,TRUE
control24,634,37.5300000000002,0.472,TRUE
control25,782,45.3200000000002,0.498,TRUE
control26,962,54.3499999999999,0.586,TRUE
control27,1141,64.9400000000001,0.578,TRUE
control28,791,46.2200000000003,0.594,TRUE
control29,811,47.0500000000002,0.564,TRUE
control3,1307,73.4299999999998,0.398,TRUE
control30,628,37.6399999999999,0.47,TRUE
control31,783,45.6700000000001,0.438,TRUE
control32,761,44.3299999999999,0.34,TRUE
control4,879,50.1100000000001,0.466,TRUE
control5,1007,57.48,0.386,TRUE
control6,947,54.3600000000001,0.568,TRUE
control7,862,49.9700000000003,0.462,TRUE
control8,409,26.1999999999998,0.566,TRUE
control9,1174,67.1100000000001,0.38,TRUE
condition1,100,10,0.002,FALSE
condition10,1007,57.9099999999999,0.506,TRUE
condition11,900,52.0799999999999,0.256,TRUE
condition12,1333,74.4200000000001,0.466,TRUE
condition13,750,44.3600000000001,0.414,TRUE
condition14,1077,60.6700000000001,0.564,TRUE
condition15,1135,64.4100000000003,0.43,TRUE
condition16,822,48.0900000000001,0.186,FALSE
condition17,100,10.1900000000005,0.002,FALSE
condition18,1336,76.04,0.706,TRUE
condition19,1007,57.4099999999999,0.368,TRUE
condition2,621,36.8200000000006,0.87,TRUE
condition20,164,13.4200000000001,0.006,FALSE
condition21,234,17.1400000000003,0.008,FALSE
condition22,1172,65.1999999999998,0.362,TRUE
condition23,802,46.25,0.392,TRUE
condition3,683,40.2700000000004,0.384,TRUE
condition4,720,42.6099999999997,0.382,TRUE
condition5,1328,74,0.54,TRUE
condition6,1500,83.3199999999997,0.348,TRUE
condition7,1355,74.4699999999993,0.644,TRUE
condition8,1114,62.7999999999993,0.44,TRUE
condition9,976,55.6599999999999,0.548,TRUE
