userid,its,timesecs,fitness,success
control1,628,75.5900000000001,0.264,TRUE
control10,1006,114.34,0.474,TRUE
control11,984,110.88,0.358,TRUE
control12,629,73.9700000000003,0.214,TRUE
control13,1322,148.35,0.472,TRUE
control14,962,110.86,0.562,TRUE
control15,1500,170.22,0.642,TRUE
control16,1396,158.179999999999,0.726,TRUE
control17,1500,169.28,0.57,TRUE
control18,676,79,0.416,TRUE
control19,1031,118.42,0.412,TRUE
control2,690,79.7799999999997,0.556,TRUE
control20,1064,121.42,0.458,TRUE
control21,867,100.37,0.696,TRUE
control22,1043,119.83,0.454,TRUE
control23,1500,169.059999999999,0.538,TRUE
control24,897,103.06,0.524,TRUE
control25,792,90.7200000000003,0.358,TRUE
control26,962,109.18,0.592,TRUE
control27,934,107.11,0.554,TRUE
control28,597,70.4399999999996,0.62,TRUE
control29,1100,125.14,0.594,TRUE
control3,997,114.650000000001,0.382,TRUE
control30,1141,130.389999999999,0.552,TRUE
control31,554,65.2099999999991,0.388,TRUE
control32,705,81.2300000000014,0.326,TRUE
control4,1500,168.34,0.464,TRUE
control5,796,91.9299999999985,0.372,TRUE
control6,764,88.2899999999991,0.504,TRUE
control7,1195,135.060000000001,0.484,TRUE
control8,522,61.6299999999992,0.558,TRUE
control9,1500,168.34,0.374,TRUE
condition1,360,44.0200000000004,0.03,FALSE
condition10,1097,125.459999999999,0.496,TRUE
condition11,1500,168.109999999999,0.388,TRUE
condition12,1500,169.550000000001,0.406,TRUE
condition13,710,82.5,0.436,TRUE
condition14,1500,167.849999999999,0.638,TRUE
condition15,1500,167.699999999999,0.508,TRUE
condition16,990,113.800000000001,0.352,TRUE
condition17,1297,146.83,0.456,TRUE
condition18,1143,130.190000000001,0.626,TRUE
condition19,1191,137.030000000001,0.444,TRUE
condition2,802,92.3000000000011,0.766,TRUE
condition20,388,47.3099999999995,0.032,FALSE
condition21,100,15.6599999999999,0.002,FALSE
condition22,1115,127.640000000001,0.426,TRUE
condition23,1347,152.789999999999,0.536,TRUE
condition3,1196,135.089999999998,0.414,TRUE
condition4,1016,115.66,0.624,TRUE
condition5,1244,141.92,0.548,TRUE
condition6,1500,169.470000000001,0.514,TRUE
condition7,766,86.9400000000005,0.604,TRUE
condition8,1097,126.66,0.51,TRUE
condition9,954,107.940000000001,0.57,TRUE
